SITE NAME,DEALER,PHYSICAL ADDRESS,Suburb,TEL NO,FAX NO,CELL NO,Custodian
Hatfield Quick Stop,Tpoo Moosa,Cnr: Church & Gordon Str Hatfield,I North,012 342 3075,012 342 3082,082 777 8608,Willem Goudriaan
Hatson Mtrs,J. Govind,Nelspan Ave. Cassim Park Ermelo,3rd East,N/A,N/A,,Closure
Hectorspruit Motors,Raymond Baardman,"N4 National Road, Hectorspruit",I North,013 792 4716,013 792 4716,082 760 3212,Willem Goudriaan
HERCULES MOTORS,PETRUS HERCULE,17 KERK STR CAROLINA,G East,(017) 848 1160,ASK,082 772 2294,Muneer Patel
Hercules S/Stn,Gensler John,Cnr. 9th & 2nd Ave. Kew,3rd West,011 7864174,011  7864174,082 3974238,Muneer Patel
HERIOTDALE MOTORS ,ESSOP BALLIM ,"CNR WHITWORTH & LOWER GERMISTON STR, GERMISTON ",G SW,011 - 626 3406,ASK,082 786 0906,Clint Gali
Highveld 1 Stop East,Hendrik Mocke,"R21 Freeway, Kempton Park",1 STOP,011 9264001,011 9264027,082 903 1230,Muneer Patel
Highveld 1 Stop West,Andre Venter,"R21 Freeway, Kempton Park",1 STOP,011 9264003,011 9264027,082 870 3442,Muneer Patel
Highway Garage,Henning De Villiers,338 Hillside Holding. Randfontein,3rd West,011  6981511,011 6981511,082 9404576,Clint Gali
HIGHWAY GARDENS S.S,R Dinath,36 PARTRIDGE AVENUE HIGHWAY GARDENS,G East,(011) 452 2701,(011) 452 2701,084 518 5340,Muneer Patel
Hilltop s/s,Gustav Otto,"31 Rustenburg road, Magaliesburg",3rd West,,,,CLOSED
Hilltop Ser Stn,Kuki Nyamane,2151 Block F Soshanguve,I North,012 790 3794,012 797 6301,083 738 2011,Willem Goudriaan
HILLVIEW S/STN ,CHRIS MHLONGO,"117 TWIST STREET, HILLBROW ",G SW,011 - 642 4434,011 - 932 0236,,Clint Gali
HJ  Motors,Van Rensberg Willie,1 Beverly Drive. Hillshaven,3rd West,011 7561603,011 7561603,082 3747537,Clint Gali
Honeydew Conv Ctr.,Hans & Erica Marais,"5 Star Park, Beyers Naude Drive, Honeydew",G Centr,794 5605,794 6003,082 445 2254,Nkosinathi
Hoppy,Leo de Kleyn,Kwartel Rd ,G Centr,011-393 2778,,,Nkosinathi
Horisonview S/Stn,Mohammed,"Cnr Sonop & Hossack Str, Horizon View",3rd West,011 760 2181,011 760-2297,083 441 9489,Muneer Patel
HUGHES PARK,DOMINIC DE SALDANHA,"CNR JET PARK RD & SALIGNA ST, WITFIELD",G East,(011) 826 - 4778 ,(011) 826 - 6971 ,083 7070 473 ,Muneer Patel
Hurlingham Court CC,Iqbal Charfaray,"William Nicol Dr, Hurlingham,",G Centr,781-0194,787-4107,083-232-0859,Nkosinathi
Impala Motors,Rina Reyneke,"Cnr Thabazimbi & Thlou Str, Rustenburg",I North,014 593 4096 ,,082 961 8424,Clint Gali
Impala Petroport,Gert Grobler,"Cnr Palm & Kiaat Str, Phalaborwa",I North,015 781 3960,013 781 3960,082 492 5252,Willem Goudriaan
Impala Ser Stn,Gert Grobler,"Gravelotte Main Rd, Phalaborwa",I North,015 769 1290,015 769 1291,082 492 5252,Willem Goudriaan
Imperial Motors,Brian Shrosbree,"Old Pretoria rd Kaapsehoop, Nelspruit",I North,013 741 2025 ,013 741 4012,082 560 0122,Willem Goudriaan
INKANYEZI MOTORS,J. Mashaba,"Cnr Dlomo & Vulindlela str, Phola T/ship",G East,013x6451662,013x6451662,083 513 3423,Muneer Patel
Investor City Deep,LOUIS TOMES ,"CNR HOUER & HEIDELBERG ROADS, CITY DEEP ",G SW,011 - 623 1383,011 - 613 8102,083 268 7938,Clint Gali
Iris Mtrs,Jonathan Glajchen,86 Grant Ave,G Centr,011-728 7010,,,Nkosinathi
Israel Garage,Ngobeni Ernest,Orpengate Rd. Acornhoek,3rd North,013 7955029,n\a,,Closure
J & J van Ryneveld,Johan Ungerer,Theron Rd Pierre v Ryneveld,G Centr,662-1082,662-2163,082-781-6939,Nkosinathi
J MARCO S/STN ,JOHAN MAREE ,"CNR MAIN & BROWN ROADS, NEWLANDS",G SW,011 - 477 9344 ,011 - 673 3193,083 650 7557,Clint Gali
JABAVU ,MANDLA SHONGWE,"CNR PHAKE & MACHABA ROADS, JABAVU, SOWETO ",G SW,011 - 982 7565,011 - 982 3794,082 5082 748,Clint Gali
JABULANI S/STN,MOHAMMED ,"CNR KOMA & BOLANI STREETS, MOLETSANE, SOWETO ",G SW,011 - 930 3515,011 - 327 1156 ,083 263 0631,Clint Gali
JACK STREET CC,DIPS NAIK  / MAC MCINTYRE,JACK ST GERMISTON ,G East,(011) 873 - 8447,(011) 873 - 4981,082 7777 566,Muneer Patel
Jacqueline ss,RAMCHANDER SURAJPAL,119 JACQUELINE AV RANDHART ALBERTON ,G SW,011 - 864 2646,011 - 908 2991,083 6378 306,Clint Gali
Jakes S.S,Andrew  & Joanne  Gossman,"2 Dumat St, Roodepoort",G Centr,760 2985,760 2833,083 628 5360,Nkosinathi
JANMY DIENSTE,JANNIE MYBURGH,19A FONTEIN STR MIDDELBURG,G East,(013) 243 4541,ASK,082 228 9327,Muneer Patel
Jeff's Fill Station,Gavin Cocks,"Main Road, Kabokwene",I North,013 796 1893,013 796 1893,082 410 1984,Willem Goudriaan
JET PARK,AMANDA VAN NIEKERK ,"CNR GRIFFITH & WANDEL STR, JET PARK ",G East,(011) 397 - 4857,(011) 397 - 3214,082 4430 541,Muneer Patel
Jimmys Ser Stn,Joseph Motsepe,Main & Highway Rds Garankuwa,I North,012 700 0668,012 700 0668,082 554 2156,Willem Goudriaan
Johan's CC,Johan Vermaak,Olievenhout Rd  Northriding,G Centr,794-1914,958-0411,082-681-5299,Nkosinathi
JOHNNY'S ,JOHNNY JACOBS,v Riebeeck St Westonaria,G SW,011 - 754 1778,011 - 754 1777,082 366 5900,Clint Gali
Joost v/d Westhuizen Mts ,Johan Van Vuuren,Duncan Str Hatfield Pretoria,I North,012 430 3130,012 430 3131,082 554 9621,Willem Goudriaan
Juniors,Gilbert Kubheka,Welamlambo Section Tembisa,G Centr,,,072-700-9002,Nkosinathi
K90 S.S ,JIMMY KAKARNAKIS ,"CNR K90 AND NORTHRAND RD, BOKSBURG",G East,(011) 826 - 4302/4,(011) 826 - 5225 ,082 3223 515,Muneer Patel
Kamoso (Wilropark),Viloshnee Hari,"31 C R Swart Drive, Wilropark",G Centr,768 1837,768 1069,083 784 1953,Nkosinathi
KANA S.S,ELRICK VILJOEN,"CNR THEUNS & HANS STRYDOM STR, WITBANK",G East,(013) 692 5079 ,(013) 692 5079,083 650 3754,Muneer Patel
KANONKOP S.S,ANDRE DU PLOOY,"HENDRIK POTGIETER & SERING STR, KANONKOP",G East,(013) 243 0044,(013) 243 0047,082 373 6174,Muneer Patel
Kanyamazane CC,Shadrack Mashele,"Chirs Hani Drive, Kanyamazane",I North,013 794 4315,013 752 8577,072 454 7168,Willem Goudriaan
Karee Vulstasie,Joubert Anton,Walter Sizulu Drive. Obverwacht,3rd North,014 7634373,n\a,082 5734106,Willem Goudriaan
Katleho Garage,D. Mphou,Black Reef Road Katlehong,3rd East,N/A,N/A,083 963 1333,Muneer Patel
Kays Ser Stn,Faziel Hoosen,Boom Street Pretoria,I North,012 323 2484 ,012 323 2480,083 600 2644,Willem Goudriaan
Kempgen,Chris Laas,Voortrekker Rd Kemptonpark,G Centr,394-4065,394-4066,083-727-7750,Nkosinathi
Kempton Park,Renato Morasutti,CR Swart Dr Kemptonpark,G Centr,394-3384,394-4810,072-416-2649,Nkosinathi
Zenex Kensington B,Mervin Toi,219 Hendrik Verwoerd Dr Randburg,G Centr,886-4220,886-7175,084-240-0891,Nkosinathi
Kensington S/Stn,Wynand Greef,"Kitchner Ave & Kent Street, Kensington",3rd South,011 6142053,011 6148214,082 335 3880,CLOSED
KEYWEST ,ROLF DE WET ,Paardekraal Road Krugersdorp,G SW,011 - 273 0176,011 - 273 0176,082 820 7414,Clint Gali
KHUBONYE S.S,JOHN MASEKO,6490 NDABEZITHA STR TSAKANE ,G East,(011) 738 1032,(011) 738 9384,082 293 0965,Muneer Patel
Khubvi F/S,Eunice Mphigalale,Khubvi Village Mutale,I North,015-968-0022,015 968 0022,072-3157072,Willem Goudriaan
Killa City,Henry Brends,,3rd South,011 622-7608,011 655-7608,,CLOSED
KILLARNEY ,DAWIE LUBBE,"60 RIVIERA RD, HOUGHTON",G SW,011 - 486 1424,011 - 646 3612 ,082 7738 705,Clint Gali
Klipdrive ss,ESSIE ESTERHUYSEN,Cnr Klipdrive & Southdale Str West Turfontein,G SW,011 - 434 1798,011 - 434 1884,082 452 5394,Clint Gali
KLM S/Stn,No dealer,Stand 93. 4th.Street. Wynburg,3rd West,018  771 -2221,018 7712032,082 5729417,Closure
Kloof Motors,Bos Groenewald,Brink Street Rustenburg,I North,014 592 6379,014 592 7952,082 559 7952,Clint Gali
Kranskop 1 Stop North,Johan Kriel,"N1 Motorway, Warmbaths",1 STOP,014 7171009,014 7174026,083 652 1905,Muneer Patel
Kranskop 1 Stop South,Jaco Rossouw,"N1 Motorway, Warmbaths",1 STOP,014 7181200,014 7174026,083 236 7520,Muneer Patel
Kritzinger ss,WERNER KOEKERMOER,99 KRITZINGER S VERWOERDPARK,G SW,011 - 902 5309 ,011 - 902 5257,082 5606 048,Clint Gali
Kroonvaal 1 Stop North,Jan Du Toit,N1 Highway towards Kroonstad,1 STOP,,,,Muneer Patel
Kroonvaal 1 Stop South,Wolf Hamm,N1 Highway towards Kroonstad,1 STOP,,,,Muneer Patel
KUTLOANO  S/STN ,PHINEAS MAGABE,"Cnr Stanley Union Avenue, Vereeniging",G SW,016 - 455 4961,016 - 455 4968,084 073 6184,Clint Gali
KWA THEMA CONV CEN,NOVEMBER MBELE,"CNR KGASWANE & NKOSI, KWA THEMA ",G East,(011) 736 - 6710,(011) 736 -9375,072 1778 690,Muneer Patel
Kwaggasrand Mts,Robbie Roberts,144 Middle Crescent Kwaggasrd,I North,012 386 3620,012 386 9252 ,082 787 5967,Willem Goudriaan
Kwenapark Ser Stn,Glenda v Deventer,Hendrik Verwoerd Ave Brits,I North,012 250 0137,012 250 0146,082 822 1948,Clint Gali
L & L Petrol,,,3rd North,,,,Willem Goudriaan
L & P S.S,THABO MAUPA,"19959 MC BOTHA AVENUE, VOSLOORUS ",G East,(011) 9066617,(011) 613 1236,083 326 9639,Muneer Patel
Lakeside,Jim Ndene,Pretoria Rd Birchleigh,G Centr,972-9219,972-2874,083-992-7103,Nkosinathi
Lammers (Pta Gardens),Rabie Willem,v\d Hoff Road.Pretoria Tuine,3rd North,012 3771351,012 3771351,083 3242071,Muneer Patel
Langjan S/Stn,Jan Bexuidenhout,13 Voortekker St  Caroline,3rd East,017x8431068,017x8431069,828007782,Closure
Lebowa Trek,Mmotong Lesedi,"Bergersfort Rd.,Bolopa Village",3rd North,n\a,n\a,827433271,Closure
Lekazi Motors,Mabel Mabuza,"Chris Hani Drive, Kanyamazane",I North,013 794 4155,013 794 4155,082 808 9700,Willem Goudriaan
Lekoko S/stn,Tariq Sherhzad,Lekoko St. Mhluzi Middelburg,3rd East,,,082 819 4353,Muneer Patel
Lenasia S/Stn,Ridwan Khan,Lenasia,3rd South,011 854-9944,011 854 -3214,,Clint Gali
Lethabo,David Malatsi,Gahlanso Section Tembisa,G Centr,925-7700,315-4637,082-567-7814,Nkosinathi
LINBRO S/STN,Marco Kienast ,4 Starfield Rd,G Centr,011-608 2068,,,Nkosinathi
Lincoln S/Stn,Tariq Sherhzad,2 Lincoln Road Benoni Southrd. ,3rd East,(011)421 -7770,(011)421 -4742,082 819 4353,Muneer Patel
Linden Garage,Marco Mario,53 4 th Ave. Linden,G Centr,011 782 5434,011 782 5435,072 3980432,Nkosinathi
Linksfield,Lew  Baker,177 Club St,G Centr,011-640 3104,,,Nkosinathi
Liverpool S/Stn,S.Moodley,Liverpool Rd Benoni,3rd East,011x4219060,011x4215805,082 253 4857,Muneer Patel
LOMBARDY S/STN,Vincent Molokwu,1 Currie Road,G Centr,011-882 3323,,,Nkosinathi
Lonehill Boulevard CC ,Martin Gouws,"317 Lonehill Boulevard, Lonehill",G Centr,465-1232,465-1232,083-265-2930,Nkosinathi
Longmeadow 1 Stop,Jamie Third,"Parkway North Road, Edenvale",1 STOP,011 6082150/2155,011 6082158,082 897 7666,Muneer Patel
Lyndhurst,Daleen Van Staden,69 Johannesburg RD. Lyndhurst,3rd West,011 7862937,011 887-2776,082 551 1528,Nkosinathi
Lyttelton,Hennie v Schalkwyk,Cantonments Dr Centurion,G Centr,664-5587,664-1679,083-449-3383,Nkosinathi
M & H S.S,DAVID MOTSHWENI,5546 EISELEN STR DAVEYTON ,G East,(011) 424 1687,ASK,082 901 6378,Muneer Patel
M & M s/s (Enterprise Mtrs),Ismail Bhabha,"Cnr Ontdekkers & Starling Roads, Horizon View",G Centr,760 4691,760 4691,072 570 5040,Nkosinathi
M & M S/Stn,F. Mokoena,Van Osellen circle Zone 9 M/lands,3rd South,011x9368443,011x9368811,082 576 2931,Clint Gali
MA-AFRIKA S/STN ,DAN RABOTHATA,"STAND 3702 BENDILE ROAD, ZOLA NORTH, SOWETO ",G SW,011 - 930 1449,Ask ,083 648 0300,Clint Gali
Mabopane Motors,Vincent Sepuru,Plot 80 / 40 Onderstepoort,I North,012 561 1275,012 561 1333,082 908 2868,Willem Goudriaan
Mabulalambiza ss,THOKO NTULI ,"6024 KHUMALO STREET, TOKOZA ",G SW,011 - 905 5664,,083 5738 018,Clint Gali
MACKENZIE PARK MOTORS,JOHAN/BLACKIE SWART,"2 KESTRELL LANE MACKEKZIE PARK, BENONI",G East,(011) 422 - 4051,(011) 422 - 4051,082 377 3066,Muneer Patel
Maders,Louw Rikie,Paul Krugers Street. Mayville,3rd North,012 3356878,012 3356878,,Willem Goudriaan
Madumeleng,Malogadihlare Gilbert,Madumeleng Village. Madumeleng,3rd North,n\a,n\a,,Willem Goudriaan
Magalieskruin Motors,,Braam Pretorius St Magalieskruin,I North,,,,Willem Goudriaan
MAIN MOTORS,I Jacub,55 MAIN STREET WITFIELD,G East,(011) 826 4471,(011) 826 2021,083 578 0993,Muneer Patel
Main Road CC,Fayaz Alli ,"Stand 802, Main Rd,  Bryanston",G Centr,706 4557 ,706 5170,082-851-8829,Nkosinathi
MAKGALEMELE RET CEN,TREVOR / OUPA ,22004 MOSHOESHOE ROAD SEBOKENG ,G SW,016 - 592 9172,073 860 2990,082 468 4110,Clint Gali
Malelane Toyota,Johan Horn,"Air Street, Malelane",I North,013 790 0202,013 790 0202,083 265 4245,Willem Goudriaan
Mansingh,Dr. MK Mansingh,57 Orange River Road. Toekomsrus,3rd West,011  6930009,011 852 4222,082 5613310,Clint Gali
Maraisburg Conv Ctr.,Andrew Sibeko,"Cnr The Links & Maraisburg Rds, Maraisburg",G Centr,474 1717,474 1715,083 652 5479,Nkosinathi
MARANATA RET CEN,NICO TRUTER,KERK STREET MIDDELBURG,G East,(013) 243 2642,ASK,082 875 9898,Muneer Patel
Maranello,Rob Dubbini,John Vorster Dr Randparkridge,G Centr,762-7012,762-3410,083-400-9944,Nkosinathi
Marikana Motor Dienste,Carla De Loureiro,Main Road Marikana,I North,014 572 3790,014 572 3790,,Clint Gali
MARIMBA GARDENS SS,SHAUN PIETERSON,"7149 SAM SEKWATI AVENUE, VOSLOORUS ",G East,(011) 863 2958,ASK,083 604 0806,Muneer Patel
Market Gateway,LAUREN FRAME,"Majorie Street, City Deep",G SW,011 - 613 4716 ,011 - 623 1917,083 600 0122,Clint Gali
MASAKHANE ,ELRICK VILJOEN,ISAMBAN ST KWA GUQA TOWNSHIP,G East,698 - 0260,699 - 0208,083 650 3754,Muneer Patel
MATATA GARAGE,MR HUNT  HOLLEY,MAIN ROAD MATATA SWAZILAND,G East,09268613 5838,09268 3646050,09268 6025830,Willem Goudriaan
Mayberry Park ss,MOHAMED ASVAT ,CNR ONYX & DELPHINIUM ST MAYBERRY PARK,G SW,011 - 900 4207 ,011 - 900 4207,083 2584 739,Clint Gali
MAYFIELD S/STN,JAY NAKA ,"SPRINGBOK / SILVER , MAYFIELD PARK",G SW,011 - 943 4284,011 - 943  4286 ,083 628 6228,Clint Gali
Mayibuye S/Stn,Petros Skhosana,WA Botha ST. Ackeville Witbank,3rd East,013x6963000,013x6963000,082 222 5198,Muneer Patel
Mc Denneboom S/Stn,Kelman Chilwane,22104 Ndlazi Dr Mamelodi West,I North,012 805 4552,,083 262 1325 ,Willem Goudriaan
MCNALLY PANELBEATERS,THYS BOTES ,"Currie Boulevard & Langehoven Street, Vanderbijl Park ",G SW,016 - 986 0120,,,Clint Gali
MEADOWPOINT SS,MIGHTY MWALE,"23674 HEKROODT CIRCLE, MEADOWLANDS ",G SW,011 - 936 6386,011 - 938 3848,082 465 9482,Clint Gali
Menlyn Quick Stop North,Chris Nortje,Atterbury Road Menlyn,I North,012 348 5492,012 348 1415,083 262 1267,Willem Goudriaan
Menlyn Quick Stop South,Chris Nortje,Atterbury Road Menlyn,I North,012 348 5492,012 348 1415,083 262 1267,Willem Goudriaan
MERAFE S/STN ,SHEDREK MASHELE,5 MABALANE ROAD MERAFE ,G SW,011 - 986 3311,,082 824 4523,Clint Gali
MERCURY S/STN,BUKS DU TOIT,"65 SAPHIRE & MERCURY RD, BENONI",G East,(011) 849 - 2720,(011) 849 - 8329,,Muneer Patel
MGM Motors,Casper Vorster/ Quintin,Nelson Mandela St Potgietersrus,I North,015 491 2203,015 491 3374,083 454 8111,Willem Goudriaan
MIDNIGHT MOTORS,ANDRE PIETERSE,"CNR STATION & DAVE ROAD, BETHAL",G East,(017) 647 5894,ASK,083 302 7404,Muneer Patel
Midrand Central,Fred Fourie,Old Pretoria Rd Halfway House,G Centr,805-7560,805-7563,082-787-5976,Nkosinathi
Midrand Olympic,Hassen,New Rd  Midrand,G Centr,315-8252,805-6324,083-728-2929,Nkosinathi
Midway Mews,Brian Shaw,Harry Galaun Dr Vorna Valley,G Centr,805-7504,805-8659,082-855-6537,Nkosinathi
Midway SS,Van Standen Pieter,"Cn. Siyabuswa & Dennelton Rd.,Marble Hall",3rd North,013 2612017,013 261188,,Closure
Millenium Walker St,French v Heerden,Walker Street Sunnyside Pta,I North,012 343 0466,012 343 4049,083 450 8183,Willem Goudriaan
Mimosa,Elize Jonker,Beyers Naude Dr Blackheath,G Centr,478-2679,476-8735,083-473-0272,Nkosinathi
Mindalore,Wagner Gert,Cnr. Farrel & Main Road. Krugersdorp.,3rd West,011 6647496,011 6647496,083 331 8221,Clint Gali
MINTY'S OF AMALGAM,AHMED SULIMAN,"CNR MAIN REEF & PRODUCTION RDS, DOORINGFONTEIN ",G SW,011 - 402 4566,011 - 402 0355,,Clint Gali
MINTY'S OF MARKET STR,AMIEN SULIMAN ,Cnr Siveright & Market Str Doornfontein,G SW,011 - 402 7785 ,011 - 402 0355,083 375 2078,Clint Gali
MINTY'S OF TYRES & MAGS ,AMIEN SULIMAN ,"80 BREE STREET, NEWTOWN ",G SW,011 - 836 7255,ASK,083 375 2078,Clint Gali
Minty's Tyre & mags,Amin Minty,"299 Bosman Street, Pretoria",3rd North,012 323 5341,012 325 7762,083 375 2078,Muneer Patel
Mitchell Str Mts,Johan Luis,456 Mitchell Str Pretoria,I North,012 327 0880,,083 308 9447,Willem Goudriaan
Mitsubishi,Douglas Mahwehwe,Hendrik Verwoerd Dr Centurion,G Centr,663-3240,663-4230,083 571 6857,Nkosinathi
MODEL RET CEN (Zenex),SOPHIA / STEPHEN,"Cnr Johan Le Roux & Galloway  Streets, Meyerton ",G SW,016 - 362 0431,016 - 362 0433,072 186 9700,Clint Gali
Modern Ser Stn,Anita van Niekerk,Thabo Mbeki Rd Mokopane,I North,015 491 6423,015 491 6423,082 9600 344,Willem Goudriaan
Monavoni,Shafi Mahomed Ali,R55 Monavoni,G Centr,012-668-1686,012-668-1685,082-621-7816,Nkosinathi
MONRESA Conv CEN,WESSEL DURANT ,"178 TRICHART RD, PARKRAND, BOKSBURG",G East,(011) 896 - 1411,(011) 913 - 0606,083 450 8737,Muneer Patel
Montana Crossing,Una Ramagodi,Zambezi Dr Montana,I North,012 548 9422,012 548 9423,073 231 1278,Willem Goudriaan
Montroux CC,Geetha Gowtham,Beyers Naude Dr Northcliff,G Centr,782-6866,782-6905,084-443-3842,Nkosinathi
Moodlays,Mohammed. Hussein,Block U. Mabopane,3rd North,n\a,012 7023706,082 389 9411,Willem Goudriaan
Mothutlung,Mofomme Marilyn,Stand 1929a Mothutlung Village,3rd North,012 323 3433,012 323 1738,083 5013445,Willem Goudriaan
Motocity ,Nico Durandt,Block E Mabopane,I North,012 702 7433,ask for fax,082 423 5318,Willem Goudriaan
Motorcall,Leon Fourie,Botha Ave Lyttleton,G Centr,664-7633,664-7880,082-301-6851,Nkosinathi
Mount Fuji,John le Cornu,Krogh St Louis Trichardt,I North,015-516-0294,015 516 1064,082-895-8340,Willem Goudriaan
Mountainview Conv Ctr.,Shaheer Seedat,"Hendrik Potgieter Road, Weltevredenpark",G Centr,475 3199,475 2856,082 511 1111,Nkosinathi
MULHANI MOTORS,MULDER ROSSOUW,"CNR PAUL SMIT & TURF RD, MUSHWELLDALE, BOKSBURG",G East,(011) 892 5102,(011) 892 4939,083 302 5666,Muneer Patel
Mystic River Inv,Wendy Sello,BZ Mdlazi Drive Mamelodi East,I North,012 801 2497,ask for fax,,Willem Goudriaan
Mzlikazi Ser Stn,Thea Bekker,"Main Road, Matsulu",I North,013 778 8103,013 750 1717,082 453 0511,Willem Goudriaan
N12 Motors,LYNETTE VAN ZYL,N12 Fochville,G SW,018 - 771 7999,018 - 771 7993,082 871 1655,Clint Gali
N3 TRUCK STOP,ESSAU MATHEBULA,CNR HEIDELBURG RD & BLACK REEF ROODEKOP,G East,(011) 866 1099,(011) 865 1633,083 7692769,Muneer Patel
Naboom Quickstop,Willem De Lange/Anton Venter,"Hans v Rensburg Street, Naboomspruit.",3rd North,015 491 3531,,,Willem Goudriaan
Naboom Toyota,Venter Anton,Hans v Rensburg Street. Naboomspuit,3rd North,014 7430161,014 7430382,n\a,Willem Goudriaan
Nape,Molepo Simon,Zone 7. Seshego,3rd North,015 223 3739,015 223 0119,082 754 3073,Willem Goudriaan
Ndlela S/Stn,B. Nkosi,Main Road Fernie Armsterdam,G East,017x8880125,017x8880081,082 406 3200,Muneer Patel
Neo Delta,Monica Mokgatswane,Pilane Street Garankuwa,I North,012 703 4354,012 703 5449,082 321 8364,Willem Goudriaan
New Market ss,THIGAMBARI PERUMAL ,80 VOORTREKKER ST ALBERTON,G SW,011 - 907 - 6514,011 - 907 - 6506,,Clint Gali
New Modder Mtrs,,New Modder Rd. Benoni,3rd East,011x4231365,011x8281341,,Willem Goudriaan
New Redruth CC,TEBOHO SEEKO ,"CNR NEWQUAY & RING RD NEW REDRUTH, ALBERTON",G SW,011 - 907 8779 ,011 - 869 9396,084 840 3449,Clint Gali
NEW SOUTH Conv CEN,GEORGINA GEMMILL ,"SOUTH MAIN REED & PLANTATION RD, NEW ERA",G East,(011) 250 - 1050,(011) 250 - 1051,,Muneer Patel
Ngodwana Motors,Mike Coen,"Tree Town Cnr N4, Ngodwana",I North,013 734 4541 ,013 734 4541,082 474 2337,Willem Goudriaan
NICTRU,NICO TRUTER,JAN VAN RIEBEECK ST MIDDELBURG,G East,282 - 4545,243 - 2194,083 206 9532,Muneer Patel
Nikanas Ser Stn,Monica Nkgoeng,Cnr Mareka & Komani St Atterridgeville,I North,012 805 1050,,082 569 2754,Willem Goudriaan
Nimrodpark,Hendry Hugget,Monument Rd Kemptonpark,G Centr,675-0338,970-2019,083-654-5268,Nkosinathi
Nirvana F Stn,Johan v Niekerk,Crescent Dr Nirvana,I North,015 292 3055 ,015 292 6204,083 313 9844,Willem Goudriaan
Nkowakowa Motors,Kas Nel,Bindzulani Shopping center Know,I North,015-303-1771,015 303 1771,083-740 9502,Willem Goudriaan
Noord Motors,Paul Esterhuizen,52 Napoleon Str Rustenburg,I North,014 538 0135,014 538 2557,082 821 9612,Clint Gali
Noordwyk,Cassim Kharbai,1226 Lever Rd Noordwyk,G Centr,318-2466,318-3083,082-774 6922,Nkosinathi
Norkempark,Ben Richardson,Mooirivier Dr  ,G Centr,011-972 7111,,,Nkosinathi
Northcliff Corner,Faizal Essack,Beyers Naude Dr Northcliff,G Centr,782-6392,782-1706,083-251-3775,Nkosinathi
Northgate SS,Bennie Maritz,Northumberland Rd Northriding,G Centr,794-3636,086-654-9286,083-458-8597,Nkosinathi
Northrand S/Stn,,Closed,3rd East,,,,CLOSED
NTLALETSENG S/STN ,SAM NYAMAH,"2125 RALERATA STREET, MOHLAKENG, RANDFONTEIN ",G SW,011 - 414 3677,011-475 0079,082-573-1956,Clint Gali
NTT Toyota ,Manie Fourie,16 Van Riebeeck St Groblersdal,I North,013 262 3051,013 262 3436,082 928 4734,Willem Goudriaan
Ntuli Ser Stn,Pieter van Staden,No 1 Kwagga zone C Kwaggafontein,I North,0,0,083 651 3017,Willem Goudriaan
NU-SOUTH S/STN,ISMAIL JAKUB ,"KLIPDRIVE DR / SOUTHDALE STR, WEST TURF ",G SW,011 - 433 8331 ,011 - 433  8329 ,082 5735 852,Clint Gali
Nylrivier,Breitenbach Sarel,Voortrekker Road. Modimolle,3rd North,014 7174855,014 7174855,082 904 9914,Willem Goudriaan
Oberon Motors,Henning van Wijk,Oberon Road Faerie Glen ,I North,012 361 7772 ,012 361 7772,082 576 7082,Willem Goudriaan
Orchards Motors,Jaco Zeeman,Jensen & Doreen Strs Orchards Pretoria,I North,012 549 2288,,082 742 4121,Clint Gali
O'REILLY MERRY CC,NICK TAOYSHANIS,CNR O'REILLY MERRY & 14TH AVE,G East,011 425 3854,011 425 3854,083 741 9438,Muneer Patel
ORIBI MOTORS,B.Venter,Jan van Riebeeck Middelburg,G East,013x2825010,013x2825010,082 494 8881,Muneer Patel
Orlando S/Stn,M. Mwale,Soweto Highway Orlando East,3rd South,011x9352192,011x9352192,082 465 9482,Clint Gali
OSIZWENI MOTORS ,ALPHEUS RADEBE ,"2386 OLD POTCH ROAD, DIEPKLOOF, SOWETO ",G SW,011 - 938 3361,011 - 938 9990,082 436 2553,Clint Gali
Othandweni ss,DAVID RAMAISA ,CNR KHUMALO & YENDE  ST TOKOZA,G SW,011 - 860 3919,011 - 905 9037,082 376 8788,Clint Gali
Ouklip Conv Ctr.,Johan Smit,"Ouklip Road, Wilropark",G Centr,764 2017,764 5636,083 266 7790,Nkosinathi
Oxford ss,PETER KOEKEMOER ,Cnr Glenhove & Oxford Str,G SW,011 - 327 2449,011 - 327 5005,082 783 3470,Clint Gali
PAARDEKRAAL ,ROLF DE WET ,Paardekraal Road Krugersdorp,G SW,011 - 953 4704,011 - 953 4704,082 820 7414,Clint Gali
PACK MOTORS,WYBRAND / MADELIEENE ,"Cnr Frikkie Meyer & Kelvin Boulervard, V/bijlPark ",G SW,016-932 1171,016 - 982 3834,082 335 7642,Clint Gali
Padi S/S,Sydney Marapyane,Unit A Lebowakgomo,I North,015 632 4189,015 291 2787,083-442-1649,Willem Goudriaan
PALM MOTORS,KOOS LE ROUX,532 STATION ROAD BETHAL,G East,(017) 647 1959,,073 167 4931,Muneer Patel
Palm Stop,Thompson Rob,Main Road. Bryanston,G Centr,011 465 5583,n\a,082 444 9817,Nkosinathi
Palm Valley Conv Ctr.,Shivarn Bachoo,"Cnr Victoria Avenue & Cascades road, Little Falls",G Centr,475 8971,675 1683,082 888 1988,Nkosinathi
PARK AUTO ,JOANNA / DANNY VAN AS,"Cnr Frikkie Meyer & Kelvin Boulevard, Vanderbijl Park ",G SW,016 - 931 1813,016 - 931 2501,082 823 1181,Clint Gali
